Hash do merge,Data do merge,Tempo de isolamento [ramos],Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Diferentes desenvolvedores,Mesmos desenvolvedores,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
479b650557d8a5ce2ac64ccfec0df5bd2f5e098b,2013-10-13 01:48:39 -0700,28.6168519,28.9148148,21,1,22,0,0,145,7,148,2,1,SIM,1,1
f3b43638b0a0e432c875d23208ed2dae4b5556dc,2013-10-13 01:39:11 -0700,4.8148032,5.3881829,2,1,3,0,0,4,2,69,2,1,NAO,0,0
bbf9412f549321fc72bb3c37bde7138a096f89f8,2013-10-13 01:37:55 -0700,1.8116319,6.0066551,3,1,4,1,1,4,1,9,60,0,NAO,0,0
95c86eaaa580df3557ad7eb27f48f6cb5658afb5,2013-10-08 19:33:27 -0700,0.2756134,1.7535532,1,1,2,0,0,1,1,1,2,1,NAO,0,0
11d7dc11e64001e6a7ab668ab347d34fec0923a7,2013-10-05 16:10:17 -0700,1.5132986,2.1762037,1,1,2,1,2,2,10,4,4,1,NAO,0,0
1bcf987c8bcf546a0442c39248b4365851593ff0,2013-10-04 03:32:58 -0400,5.9152662,6.7082986,1,7,8,1,1,1,55,4,130,1,SIM,1,2
6304ccb6e4377d911c5099a5293a8def4e4ea4e7,2013-10-03 11:32:22 -0700,1.4624074,2.8049884,4,1,5,1,1,44,1,12,2,1,NAO,0,0
2ccdbc0a605bb2ef807a3df2b9252accea238281,2013-10-03 11:28:31 -0700,1.0190046,1.3779861,1,2,3,0,0,20,3,9,1,1,NAO,0,0
51fef0e303608dd758e5c0262d5ead3a471f9e5c,2013-10-03 11:20:26 -0700,0.8549074,1.3723727,1,1,2,1,2,16,4,9,2,1,SIM,1,1
87b02b1c59b7f1232998ad3b7414e487e5a2a820,2013-10-02 18:33:35 -0400,5.0611227,5.3337269,1,5,6,1,1,15,29,9,122,1,SIM,2,2
d9840730e70dc147d275eb43c76003e1b04e77fc,2013-10-02 17:31:22 -0400,4.5221296,5.2905208,1,5,6,1,1,4,29,2,122,1,SIM,1,1
48c742c19c962f01f27c7aa74223a491413204cd,2013-10-02 00:22:39 -0700,72.9490972,73.4193403,33,2,35,1,1,154,19,212,2,1,SIM,1,2
be5de6530548ae52090aa6b5e45cdf370470be06,2013-09-30 16:06:08 -0700,1.0764352,3.3563310,2,1,3,0,0,4,3,119,2,0,NAO,0,0
bf54a47509622ab1b0f7cc491a5082bf59510270,2013-09-27 16:58:34 -0400,1.6909954,2.5840046,1,3,4,1,1,10,9,6,14,1,SIM,3,4
c40912d1cafda3961c97885aaa1b5191b04ea529,2013-09-27 07:33:01 -0700,0.3782292,1.2550347,2,1,3,1,1,4,1,10,1,0,NAO,0,0
bac5bb8b584c5b1e082ef221c0478ca4b245901d,2013-09-26 04:52:01 -0700,14.9680440,16.5850347,14,1,15,0,0,78,3,42,2,0,NAO,0,0
8f192bbc1d38e814a56c4f7b126928ad207a97ba,2013-09-26 00:14:35 -0400,8.1173380,9.0364005,1,7,8,1,1,4,25,3,8,1,SIM,2,2
0a607adb8471dca8f2c660db7e871de3e3b55884,2013-09-24 11:51:31 -0700,3.8424074,6.4783102,1,1,2,0,0,2,2,2,2,0,NAO,0,0
d35b902c28f639cce59257d788fcf64b789a0973,2013-09-18 00:22:45 -0700,0.0710880,0.9800694,1,1,2,1,2,1,3,1,1,2,NAO,0,0
3f1c1c69a6eb64ea2fd2d83f7093e2a4325e4a40,2013-09-17 00:24:11 -0700,0.2245370,0.5069907,3,1,4,1,1,11,5,7,2,1,NAO,0,0
4e9655ba55b20076ca65cac6f923c69334e37e43,2013-09-16 23:22:32 -0700,4.7789583,4.9059606,11,1,12,0,0,43,3,26,2,1,NAO,0,0
09a177f3815f453d8357bdb94568c7ae37cfd45c,2013-09-17 00:08:38 -0400,0.9948611,1.0513079,1,4,5,1,1,3,14,3,8,1,SIM,1,1
217b8b771cd9607164ebf16826514adc48ff4656,2013-09-16 20:22:10 -0700,0.0249769,0.3389236,1,1,2,0,0,1,1,3,2,0,NAO,0,0
9d20aa7934e849a0581b281f3bed2d3415acda28,2013-09-16 19:37:26 -0700,0.3583218,0.6792708,2,1,3,0,0,6,1,2,3,0,NAO,0,0
00b95806c7167ba8e8c6c2e62e1f45f53e3564c3,2013-09-16 21:58:58 -0400,2.1972338,2.2756713,1,10,11,1,1,4,32,2,16,1,SIM,1,2
b3e05bfc4a09aff59cc0ff86da126e9eb5504af2,2013-09-16 12:14:07 -0700,0.1311343,0.3562269,1,1,2,1,2,3,1,1,1,2,NAO,0,0
d450ceacf5afd22499be220e463005e339736c92,2013-09-16 12:11:24 -0700,0.1303241,0.3543403,1,1,2,1,2,2,1,1,1,2,NAO,0,0
77d57737cd9992a52382a86bfd81cfec502a4b85,2013-09-16 03:41:09 -0700,1.0137616,1.2531597,4,1,5,0,0,7,2,6,2,1,NAO,0,0
05295e00ba5eaa9fafafd3d87998dfd46b9b7b3b,2013-09-16 03:19:17 -0700,1.5456134,1.6231134,9,1,10,1,1,25,1,16,1,1,NAO,0,0
7054bae57c50c52fbb2b8cdab0ff33b2d59c74c8,2013-09-16 03:14:05 -0700,3.5239931,3.9481019,10,1,11,1,1,31,2,20,2,0,NAO,0,0
f0747749a27fc140b1ca24971d41675bcbeb3dd5,2013-09-16 03:11:54 -0700,1.4475579,1.5404051,6,1,7,1,1,17,2,9,1,1,NAO,0,0
6f547158fc92df9a047775553fac1f0baed703fb,2013-09-16 02:45:42 -0700,1.2405208,1.5997917,7,1,8,0,0,20,1,13,2,1,NAO,0,0
043c18153f52639ff79e48c122bf0d1b16d2531f,2013-09-14 21:36:36 -0700,5.8461458,5.8751620,8,2,10,0,0,28,7,29,2,1,NAO,0,0
407e797330b46d354eeffb6da64a67aaebdf5a13,2013-09-14 20:56:41 -0700,0.0418287,0.2798380,2,1,3,1,1,3,5,4,2,1,NAO,0,0
