Hash do merge,Data do merge,Intersecção de Desenvolvedores,Mesmos desenvolvedores,Diferentes desenvolvedores
c67b52cd89970f183c5661bb6f6d634fcf6f3cf8,2013-02-11 22:35:03 +0100,1,1,0
437c8f10e072b14915d3013ff2f8a9d5af550ffa,2013-02-11 22:25:08 +0100,1,1,0
7d95a24165a4073df3c1af320dabf1d856c34a70,2013-02-08 11:51:35 -0800,0,0,1
46200a34cbc5d9c058d5be96f0989fabf504eee2,2013-02-08 11:23:09 -0800,1,1,23
97e30693bb069c03dc3d7ef34e8c590d81765223,2013-02-05 10:57:07 -0800,1,1,0
5e95d7ae46bbaa1f1257ac5aa38e1c9d2f9665c8,2013-02-05 10:54:34 -0800,0,0,1
3f76ee9788b256aab2acb1465f3bd9c028deab76,2013-01-23 10:56:07 -0800,0,0,1
b7b0fbe42c8bb41c264be1020535dd5ac1a42496,2013-01-23 10:28:44 -0800,0,0,1
474774a86c9008f6f3bf2ff27a33d6d11bd370ad,2013-01-23 10:06:08 -0800,0,0,1
dc8d532eb38b5c3cd9aedd43e0699c0aaa6e5334,2013-01-16 10:43:13 -0800,1,1,0
1529fab61d9703c3b3027939ad42bf8288f1cad0,2013-01-15 15:30:05 -0800,2,1,0
b141f5f947f840874d18b4a2d213c45135147a26,2013-01-15 12:13:12 -0800,2,1,0
7127221c54b13c0deae89cbd256751a59683dbc6,2013-01-15 11:48:06 -0800,2,1,0
f3f2156ae46dd3d03e459a3fde895107300e79b0,2013-01-15 11:46:55 -0800,2,1,0
ca30a14f1e4ad6c360a5df52201fe3bbc17807e8,2013-01-15 11:45:27 -0800,2,1,0
4e44dd43c377b14646e457e70cc0ebfbfc4dcc04,2013-01-10 10:50:01 -0800,0,0,3
4a05dce96ee65e1fceeddcbf03501658bb623075,2013-01-02 09:16:18 -0800,1,1,0
d8c07ab398de6dbac4f2dbc5ded2eb53431b4053,2012-12-12 11:24:57 -0800,1,1,11
0d3be5715935ac042d53b28aa24b26bca8e4adbc,2012-11-27 11:12:47 -0800,0,0,1
228cad1d22c3b0e1768dccce677fffd8c97a53f8,2012-11-27 09:40:07 -0800,0,0,1
a1c3f4d871dab4b62822a85bbd2bcaa93cbf95d7,2012-11-26 10:17:44 -0800,0,0,5
3eecad86af8d42896f54adb3a7768c7a94ab2fea,2012-11-26 09:49:10 -0800,2,1,0
af597b29337f9f503af6d851f697bfa358c8412e,2012-11-26 09:27:53 -0800,0,0,3
e0ad3caebaa4eb4afe3c8e2953f4bd2a35e86417,2012-11-26 09:20:25 -0800,0,0,1
bdf4dfdd8b1ad2e76d359a54b7915faf5d87db40,2012-11-25 21:13:23 -0500,0,0,14
5a990196f872ac3dbb520c1bda40d498fde1b3a6,2012-11-19 09:15:55 -0800,0,0,1
1cfd4f6788542b67e259fac5bea665551cfd4353,2012-11-06 10:10:41 -0800,0,0,1
a6663828ce3a23eb928149f48fe9653e8d405a75,2012-11-06 10:10:21 -0800,1,1,0
8a41d27f71597e293cd4c5376e48fc31bb67586d,2012-10-30 12:01:18 -0700,0,0,1
