Hash do merge,Intersecção de Desenvolvedores,Arquivos em Conflito,Arquivos com Conflito causado pelo Mesmo
32a007597ef1c50eab310a3a18f060f6ebb1dfad,1,3,0,spec/main-process/atom-application.test.js,Wliu,David Wilson;src/atom-environment.coffee,Wliu,Lee Dohm;spec/atom-environment-spec.coffee,Wliu,Lee Dohm;
852c54c026ac34a3131355c48ad73802964bd99e,1,0,0,
44e5e7181a024fdb10b77e7d8e000e1209c3a4e9,0,0,0,
0e8dde4c605da63c1e83f85c42f5694164059d4e,1,0,0,
c3b8966f3447197a8b4373b406fdb2e5972f915f,0,0,0,
92785ac2577ac745f048a74d9b03dca32ae34c50,1,0,0,
7a9813cfe5dbf61e15e593da454f09a0b465d732,0,0,0,
be8097272f40a069c08e8879a49de72223fd03b2,1,0,0,
8e127078d7ed51872cdb17715ec4c3bd5c3c031d,0,0,0,
81f066394d66e509a5cc77aa6baf059dc3b4ab97,1,0,0,
c4b3381984ed490e61caf3aeea3718b1ccf987d2,1,2,0,packages/README.md,Ryan Olson,simurai;package.json,Ryan Olson,simurai;
28283ce33887c3c43a291b23e44c843955cd1966,0,0,0,
883719a139b998455b5582f67e9431c980c010d8,0,0,0,
add03bdbef88e07554a69acd404dab500301524e,0,0,0,
48618e5a9d30fdbce717115ff2591e5fcd5f5d6c,2,0,0,
180443896ae6d1cee5f515fa2801f8bcfc0c9e88,0,0,0,
d74e6d692db5b76df3d16fed602401b19cd7fc63,0,1,0,
90e8fb5f62627a7cfe570335ca3c4186e1b27c52,0,0,0,
aad7705687ee1369fc990114a28694a18a7934aa,0,0,0,
08063d67dd58676c5a497b1f49f57caa452e68c9,1,0,0,
9d6e4dcee442375e103c168e8e1a687295752123,0,0,0,
c3c589a1b4a4966ca83248cea09858f9bf6c2271,2,0,0,
6cfcdd1349686a5f6c3e2798ceea81988677cbe8,0,0,0,
f1e1580594cc4eab4aad97e2fe0b50fc61175fc4,0,0,0,
196b576ca8f183a935f7890e2a3e1ef9ca2bbebe,1,0,0,
ae67bca021d82beddd334e4211e1a9b883ad507e,2,0,0,
3f6718336b1ff10fc4a3ab1b5bb967d73f247b60,0,0,0,
49204b32f2421a966418bfeacb9563272aa70cd5,0,0,0,
080d6ae1279c66e5f018d803186a0cde5c202c03,1,0,0,
cf2786273eb8fb6c8936f5c564343348ff3616e9,0,0,0,
e158dceaf84ec76f549faa1cca6c550744569270,1,0,0,
734a616595663640d45d16da57a14e7c3f46876a,0,0,0,
e0ace164d960cb7488fd4f4d1cd2109d507411ad,0,0,0,
a4d297cc6e648e5d86db20ace2502c71013a9711,1,0,0,
110c28f95302f30a5dffcab290226a543f36a70a,0,0,0,
afef370bb667eaeb4bbb67099f025dd4c118a852,1,0,0,
5087e28c65a7a4f111250e5d4c3754f8b0aaa1a8,0,0,0,
d7ead4ebd97552ce047c94580f8e745978723443,0,0,0,
9c81bb6219a801abb017fd7f5e667d730bb54987,0,0,0,
5761a99b0858009cedf2be0ec106650961b447a4,2,0,0,
834ced222a423a3e1432883a8393c699f0333977,2,0,0,
8c5c71c59427ff52a0066459589d9f8f9638eab3,1,0,0,
b4941cf755b8b45ea5f59ebc24548d632ec97e6a,0,0,0,
666390098d3a2721f608b4606d9799289dedc400,2,0,0,
88994e26612cfc37737327cb9481a99ce7cc8573,1,0,0,
239aa03de209aa632695a181b73d116e5e163cce,1,0,0,
692c1d32532de693bcf68288e5446f738deca385,1,0,0,
e82629c1b9b8aaaf1df6eaa3de2ca93fa4de7553,1,0,0,
11bd210ee3f2b5a570d27d63435c0024ed1f5e50,1,0,0,
b2f4506dd1ce311bcdfc3d88c3e3dd57f75f5f18,0,0,0,
d1fd0d251e75700ecb2c790e0c8815b0b4e78d62,0,0,0,
4ca5d4e9a3483c8a940744b2228d994cae781e62,0,0,0,
59b4fb4a6405c696c99a6318ee5c46659e755485,1,2,2,
34b73887f64a3fe78495f293d02f074e669ea89a,0,0,0,
fed020c382c3062bf4562430873618aacabe726f,1,2,2,
7e3191c7f1b5e421477866e9ea2a0035395f1eb3,0,0,0,
04fd2aa4e6250c503dd614266fb17c4d6d914813,0,0,0,
6fdcd288d9cae03156dfe28f4b3422876b873069,0,0,0,
af54b63c3dd2f3148c4397b3699b9971b870fdc2,0,0,0,
5d30e4e822cdd268f3109bcf647bdfee66806b98,0,0,0,
4f3d457203a5854fab005ee94289fbc0b7f296d8,0,0,0,
92731638894b338c52dcbe3c2bf3b1b3d2ed5965,0,0,0,
e83c8fd12d1688e1cbcd844b019bfdf9642ce7d2,0,0,0,
44110cb22a42965666f4b7af21466859147c1d7e,2,2,2,
31ee4fbdc034cf5051a38a12615b6cecaf3e37c0,2,0,0,
8b9f5d1827cd4a8542ab6cf672d49397a4f5a876,2,2,2,
47b0675dbe4b47ffc74e82728cfdb8c34b03c66e,2,0,0,
d2c38ac36a46c067b7f1fe1edc41bcf7b4b13e73,1,0,0,
3a9722e3c19cc6493b6ea88c3ef092c92e090fbb,0,0,0,
a239b66396f1ac5c9f6460e4ab1b9632de415181,0,0,0,
7d1542298edee44d27fc2a3bb919c50afdd57332,0,0,0,
cc4f368bfd5f5794bfc1bbcd954d9dbf5e08c3b8,0,0,0,
4814a8e3cbacf3af0ea0a4195a9c1d77595e1444,0,0,0,
e1e3c579592241364d793a019c83388674d37f69,0,0,0,
35eb249e6682fd634773d0eeb68129c5f6e01ff3,0,0,0,
6bb1318a057b6dc86877ef90eafbd7e79d42117a,0,0,0,
aef6ba315b26782bf1a3b462fba5491670c721e8,1,0,0,
e865182393a1bda578863d9c2722f05df7dd5154,0,0,0,
ab973937320cdf64ef46e609e36c488900f404fb,0,0,0,
73ab237132d4303b7f55699715771a511b9dfdc0,0,0,0,
9127ddd9184cfcfc6ba943eb4cfee04695214720,0,0,0,
f3a4cc1d3a872fe3b9c54cacfb891ec87a97c196,0,3,0,
95f09d6a502138f9db2a658e69ebb497f3ca345d,0,0,0,
